a, an	一个；一
towel	毛巾；纸巾
tower	塔；塔楼
town	城镇；市镇
toy	玩具
track	轨道；追踪
trade	贸易；交易
tradition	传统；惯例
traditional	传统的；惯例的
traffic	交通；运输
train	火车；训练
trainer	教练；运动鞋
training	训练；培训
transfer	转移；转让
transform	改变；转换
transition	过渡；转变
translate	翻译；转化
translation	翻译；译文
transport	运输；交通工具
travel	旅行；旅游
traveller	旅行者；旅客
treat	对待；治疗
treatment	治疗；待遇
tree	树；树木
trend	趋势；倾向
trial	审判；试验
trick	诡计；窍门
trip	旅行；绊倒
tropical	热带的；炎热的
trouble	麻烦；烦恼
trousers	裤子
truck	卡车；货车
true	真的；真实的
truly	真正地；真诚地
trust	信任；信赖
truth	真相；事实
try	尝试；努力
T-shirt	T恤衫
tube	管子；地铁
Tuesday	星期二
tune	曲调；调整
tunnel	隧道；地道
turn	转动；轮流
TV	电视
twelve	十二
twenty	二十
twice	两次；两倍
twin	双胞胎之一
two	二；两个
type	类型；打字
typical	典型的；有代表性的
typically	通常；典型地
tyre	轮胎
ugly	丑陋的；难看的
ultimately	最终；归根结底
umbrella	雨伞
unable	不能的；无法的
uncle	叔叔；伯父
uncomfortable	不舒服的；不自在的
unconscious	无意识的；昏迷的
under	在…下面；低于
underground	地下的；地铁
understand	理解；明白
understanding	理解；谅解
underwear	内衣
unemployed	失业的
unemployment	失业；失业率
unexpected	意外的；出乎意料的
unfair	不公平的；不公正的
unfortunately	不幸地；遗憾地
unhappy	不高兴的；不幸福的
uniform	制服；统一的
union	联盟；工会
unique	独特的；唯一的
unit	单位；单元
united	联合的；统一的
universe	宇宙；世界
university	大学
unknown	未知的；陌生的
unless	除非；如果不
unlike	不像；和…不同
unlikely	不太可能的
unnecessary	不必要的；多余的
unpleasant	令人不快的；讨厌的
until	直到；到…为止
unusual	不寻常的；罕见的
up	向上；起来
update	更新；升级
upon	在…之上
upper	上面的；较高的
upset	心烦的；打乱
upstairs	在楼上；楼上
upwards	向上；往上
urban	城市的；都市的
urge	催促；敦促
us	我们
use	使用；用途
used	用过的；习惯于
used	用过的；习惯于
used	用过的；习惯于
useful	有用的；有益的
user	用户；使用者
usual	通常的；平常的
usually	通常；经常
vacation	假期；休假
valley	山谷；溪谷
valuable	有价值的；贵重的
value	价值；重视
van	货车；面包车
variety	多样；种类
various	各种各样的；不同的
vary	变化；不同
vast	广阔的；巨大的
vegetable	蔬菜；植物
vehicle	车辆；交通工具
venue	会场；举办地点
version	版本；说法
very	非常；很
via	通过；经由
victim	受害者；牺牲品
victory	胜利；成功
video	视频；录像
view	观点；景色
viewer	观众；观察者
village	村庄；乡村
violence	暴力；暴行
violent	暴力的；猛烈的
virtual	虚拟的；实际上的
virus	病毒
vision	视力；愿景
visit	参观；拜访
visitor	参观者；访客
visual	视觉的；可视的
vital	至关重要的；生死攸关的
vitamin	维生素；维他命
voice	声音；嗓音
volume	音量；体积
volunteer	志愿者；志愿
vote	投票；选举
wage	工资；报酬
wait	等待；等候
waiter	服务员；侍者
wake	醒来；唤醒
walk	走；步行
wall	墙；墙壁
want	想要；需要
war	战争；斗争
warm	温暖的；热情的
warn	警告；提醒
warning	警告；警示
wash	洗；洗涤
washing	洗涤；待洗衣物
waste	浪费；废物
watch	观看；手表
water	水；浇水
wave	波浪；挥手
way	方式；路
we	我们
weak	虚弱的；薄弱的
weakness	弱点；缺点
wealth	财富；富有
wealthy	富有的；富裕的
weapon	武器；兵器
wear	穿；戴
weather	天气；气象
web	网；网络
website	网站
wedding	婚礼；结婚
Wednesday	星期三
week	周；星期
weekend	周末
weigh	称重；权衡
weight	重量；体重
welcome	欢迎；受欢迎的
well	好；健康的
west	西方；西部
western	西方的；西部的
wet	湿的；下雨的
what	什么；多么
whatever	无论什么；任何
wheel	轮子；车轮
when	什么时候；当…时
whenever	无论何时；每当
where	在哪里；…的地方
whereas	然而；鉴于
wherever	无论在哪里
whether	是否；不论
which	哪一个；哪些
while	当…的时候；虽然
whisper	低语；耳语
white	白色的；白
who	谁；…的人
whole	整个的；全部的
whom	谁（宾格）
whose	谁的
why	为什么；…的原因
wide	宽的；广泛的
widely	广泛地；普遍地
wife	妻子
wild	野生的；野蛮的
wildlife	野生动物
will	将要；意愿
willing	愿意的；乐意的
win	赢；获胜
wind	风；缠绕
wind	风；缠绕
window	窗户；窗口
wine	葡萄酒；酒
wing	翅膀；翼
winner	获胜者；赢家
winter	冬天；冬季
wire	电线；金属丝
wise	明智的；聪明的
wish	希望；祝愿
with	和…一起；用
within	在…之内；不超过
without	没有；无
witness	目击者；见证
woman	女人；妇女
wonder	想知道；奇迹
wonderful	极好的；精彩的
wood	木头；木材
wooden	木制的；木头的
wool	羊毛；毛线
word	单词；话
work	工作；运转
worker	工人；工作者
working	工作的；劳动的
world	世界；领域
worldwide	全世界的；全球范围的
worried	担心的；烦恼的
worry	担心；烦恼
worse	更坏的；更差
worst	最坏的；最差
worth	值得；价值
would	将；愿意
wound	伤口；创伤
wow	哇；呀
wrap	包裹；缠绕
write	写；书写
writer	作家；作者
writing	写作；作品
written	书面的；成文的
wrong	错误的；不对的
yard	院子；码
yeah	是；对
year	年；年份
yellow	黄色的；黄
yes	是；是的
yesterday	昨天；昨日
yet	还；但是
you	你；你们
young	年轻的；青年的
your	你的；你们的
yours	你的；你们的
yourself	你自己
youth	青年；青春
zero	零
zone	区域；地带
